epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,200.717,0.92692,0.72553,0.97419,0.95382,0.93923,0.98472,0.73473,0.94249,0.5637,0.92961,0.000464647,0.000464647,0.000464647
69,203.581,0.97236,0.7525,0.98978,0.93943,0.95253,0.98134,0.73278,0.91665,0.56684,0.9208,0.00045915,0.00045915,0.00045915
70,206.457,0.94887,0.73598,0.96722,0.92436,0.96341,0.98047,0.73792,0.89134,0.54129,0.90915,0.000453652,0.000453652,0.000453652
71,209.343,0.95488,0.7155,0.9635,0.93335,0.9664,0.98097,0.74713,0.87156,0.52245,0.90728,0.000448154,0.000448154,0.000448154
72,212.218,0.94902,0.70342,0.95411,0.93633,0.97622,0.98637,0.75356,0.86852,0.52828,0.90862,0.000442656,0.000442656,0.000442656
73,215.087,0.92978,0.70142,0.9669,0.94565,0.9748,0.98667,0.75181,0.88899,0.52202,0.91399,0.000437158,0.000437158,0.000437158
74,217.96,0.93573,0.72248,0.96682,0.91954,0.98156,0.98765,0.75333,0.8816,0.52915,0.90661,0.000431661,0.000431661,0.000431661
75,220.83,0.91486,0.69763,0.96746,0.95303,0.94156,0.98612,0.74943,0.87724,0.52577,0.9087,0.000426163,0.000426163,0.000426163
76,223.686,0.88857,0.67504,0.97748,0.96077,0.9488,0.98737,0.75541,0.86956,0.5238,0.90676,0.000420665,0.000420665,0.000420665
77,226.569,0.91535,0.67803,0.95802,0.91891,0.9859,0.98718,0.75711,0.85496,0.52628,0.90595,0.000415167,0.000415167,0.000415167
78,229.479,0.90291,0.70418,0.96131,0.9429,0.96839,0.98899,0.75539,0.84449,0.5143,0.90042,0.000409669,0.000409669,0.000409669
79,232.37,0.90784,0.66796,0.94266,0.93611,0.97485,0.98704,0.76293,0.84829,0.52239,0.89742,0.000404172,0.000404172,0.000404172
80,235.26,0.92658,0.67292,0.97238,0.95569,0.95579,0.98498,0.76068,0.85071,0.505,0.90098,0.000398674,0.000398674,0.000398674
81,238.127,0.87983,0.66262,0.96063,0.94519,0.96204,0.98573,0.76557,0.82989,0.50178,0.89541,0.000393176,0.000393176,0.000393176
82,241.018,0.90054,0.66364,0.96801,0.93085,0.97441,0.98728,0.77166,0.83588,0.51138,0.89572,0.000387678,0.000387678,0.000387678
83,243.922,0.89592,0.65448,0.96718,0.94498,0.96438,0.9881,0.7656,0.83575,0.5039,0.89631,0.00038218,0.00038218,0.00038218
84,246.792,0.90109,0.65968,0.95515,0.95848,0.95909,0.98851,0.76289,0.83351,0.50851,0.89358,0.000376683,0.000376683,0.000376683
85,249.648,0.88142,0.67656,0.95476,0.95123,0.95295,0.98847,0.76437,0.82524,0.50199,0.89351,0.000371185,0.000371185,0.000371185
86,252.531,0.86712,0.63415,0.96695,0.95128,0.95087,0.98765,0.7672,0.83389,0.49499,0.89358,0.000365687,0.000365687,0.000365687
